split,doc_id,file_name,label_id,gold_label,evidence_index,start,end,length_chars,relative_start,relative_end,text_preview
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-16,entailment,0,5021,5179,158,0.5849254426840633,0.603331780055918,"5. All Confidential Information in any form and any medium, including all copies thereof, disclosed to the Recipient shall be returned to UNHCR or destroyed: "
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-16,entailment,1,5179,5347,168,0.603331780055918,0.6229030754892824,(a) if a business relationship is not entered into with UNHCR on or before the date which is three (3) months after the date both Parties have signed the Agreement; or 
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-15,entailment,0,4834,5020,186,0.5631407269338303,0.5848089468779124,"4. Nothing in this Agreement is to be construed as granting the Recipient, by implication or otherwise, any right whatsoever with respect to the Confidential Information or part thereof."
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-10,entailment,0,7292,7645,353,0.8494874184529357,0.8906104380242311,"11. The Recipient shall not advertise or otherwise make public the fact that it has a confidential relationship with UNHCR, nor shall the Recipient, in any manner whatsoever use the name, emblem, or official seal of the United Nations or UNHCR, or any abbreviation of the name of the United Nations o"
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-1,entailment,0,1294,1683,389,0.15074557315936626,0.19606244175209692,"1. “Confidential Information”, whenever used in this Agreement, shall mean any data, document, specification and other information or material, that is delivered or disclosed by UNHCR to the Recipient in any form whatsoever, whether orally, visually in writing or otherwise (including computerized fo"
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-19,entailment,0,5959,6301,342,0.6941985088536813,0.7340400745573159,"Either Party may terminate the working relationship contemplated by this Agreement by providing written notice to the other, provided, however, that the obligations and restrictions hereunder regarding the Confidential Information shall remain effective following any such termination or any other te"
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-12,entailment,0,3834,3924,90,0.44664492078285184,0.4571295433364399,The Recipient shall not be precluded from disclosing the Confidential Information that is 
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-12,entailment,1,4263,4364,101,0.4966216216216216,0.5083876980428704,(iv) at any time is developed by the Recipient completely independently of any disclosures hereunder.
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-3,entailment,0,1294,1683,389,0.15074557315936626,0.19606244175209692,"1. “Confidential Information”, whenever used in this Agreement, shall mean any data, document, specification and other information or material, that is delivered or disclosed by UNHCR to the Recipient in any form whatsoever, whether orally, visually in writing or otherwise (including computerized fo"
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-7,entailment,0,2229,2471,242,0.25966915191053125,0.287861136999068,"2.3 Provided that the Recipient has a written agreement with the following persons or entities requiring them to treat the Confidential Information in accordance with this Agreement, the Recipient may disclose the Confidential Information to:"
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-7,entailment,1,2542,2980,438,0.2961323392357875,0.3471575023299161,"2.3.2 the Recipient’s employees, officials, representatives and agents who have a strict need to know the contents of the Confidential Information, and employees, officials, representatives and agents of any legal entity that it controls, controls it, or with which it is under common control, who ha"
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-17,entailment,0,4369,4656,287,0.5089701770736254,0.5424044734389561,"The Recipient will not copy or reproduce the Confidential Information except as reasonably required for the purposes contemplated in this Agreement, and will ensure that any confidentiality or other proprietary rights notices on the Confidential Information are reproduced on all copies."
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-8,entailment,0,3369,3829,460,0.3924743709226468,0.4460624417520969,"The Recipient may disclose the Confidential Information to the extent required by law, provided that, subject to and without any waiver of the privileges and immunities of UNHCR, the Recipient will give UNHCR sufficient prior notice of a request for the disclosure of the Confidential Information in "
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-13,entailment,0,3834,3924,90,0.44664492078285184,0.4571295433364399,The Recipient shall not be precluded from disclosing the Confidential Information that is 
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-13,entailment,1,3924,4124,200,0.4571295433364399,0.4804287045666356,"(i) obtained by the Recipient without restriction from a third party who is not in breach of any obligation as to confidentiality to the owner of such Confidential Information or any other person, or "
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-5,entailment,0,2229,2471,242,0.25966915191053125,0.287861136999068,"2.3 Provided that the Recipient has a written agreement with the following persons or entities requiring them to treat the Confidential Information in accordance with this Agreement, the Recipient may disclose the Confidential Information to:"
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-5,entailment,1,2542,2980,438,0.2961323392357875,0.3471575023299161,"2.3.2 the Recipient’s employees, officials, representatives and agents who have a strict need to know the contents of the Confidential Information, and employees, officials, representatives and agents of any legal entity that it controls, controls it, or with which it is under common control, who ha"
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-5,entailment,2,3142,3225,83,0.36602982292637465,0.3756989748369059,"2.3.2.2 any entity over which the Party exercises effective managerial control; or,"
train,34,Annex E_Non-Disclosure and Confidentiality Agreement.pdf,nda-4,entailment,0,2125,2228,103,0.24755358807082944,0.2595526561043802,The Recipient shall use the Confidential Information solely for the purpose for which it was disclosed;
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-15,entailment,0,11461,11963,502,0.7669811952084588,0.8005755203105133,"Any and all proprietary rights, including but not limited to rights to and in inventions, patent rights, utility models, copyrights, trademarks and trade secrets, in and to any Confidential Information shall be and remain with the Participants respectively, and Mentor shall not have any right, licen"
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-2,contradiction,0,7752,8016,264,0.5187713310580204,0.5364384661714515,"“Confidential Information” means any Idea disclosed to Mentor, all data and information, know-how, business concepts, software, procedures, products, services, development projects, and programmes contained in such Idea and/or its description and any conclusions. "
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-19,entailment,0,12076,12328,252,0.8081375895067925,0.8250016730241585,"Notwithstanding the termination of this Agreement, any Confidential Information must be kept confidential for as long as such Confidential Information is not publicly known unless it becomes part of the public domain through no wrongful act of Mentor. "
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-20,contradiction,0,10013,10056,43,0.6700796359499431,0.6729572375025096,"At Organiser’s first request, Mentor shall:"
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-20,contradiction,1,10391,10539,148,0.6953757612259921,0.7052800642441277,"(d) erase and/or destroy any Confidential Information contained in computer memory or data storage apparatus of, under control of or used by Mentor;"
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-20,contradiction,2,10540,10729,189,0.7053469852104665,0.7179950478484909,"(e) remove the Confidential Information from any software or data base of, under control of/or used by Mentor that incorporates or uses the Confidential Information in whole or in part; and"
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-7,contradiction,0,8667,8837,170,0.5800040152579803,0.5913805795355684,Mentor shall not disclose any Confidential Information to any third party or to Mentor’s employees and/or employer without the prior written consent of the Participants. 
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-8,entailment,0,10929,11277,348,0.7313792411162418,0.7546677374021281,"If Mentor is required by mandatory, non-appealable judicial or administrative process and/or order to disclose Confidential Information, then Mentor shall promptly notify Organiser and allow Organiser and the Participants reasonable time to oppose such process unless this is not admissible under a m"
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-13,entailment,0,8016,8058,42,0.5364384661714515,0.5392491467576792,Confidential Information does not include:
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-13,entailment,1,8242,8326,84,0.5515626045640099,0.5571839657364652,> information received from a third party who was free to disclose such information.
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-5,contradiction,0,8667,8837,170,0.5800040152579803,0.5913805795355684,Mentor shall not disclose any Confidential Information to any third party or to Mentor’s employees and/or employer without the prior written consent of the Participants. 
train,86,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf,nda-4,entailment,0,8534,8666,132,0.571103526734926,0.5799370942916415,"Mentor shall not use any Confidential Information for any purpose except to review, assess and help develop the Participants´ Ideas."
train,87,Cyber Mutual Assistance NDA.pdf,nda-16,entailment,0,9752,10169,417,0.6516103167178939,0.6794734732059334,"Upon termination of this Agreement, all Confidential Information in the possession or control of a Participating Entity and its Representatives that received such information shall be returned to the Participating Entity that disclosed the information, including all copies of such information in any"
train,87,Cyber Mutual Assistance NDA.pdf,nda-15,entailment,0,12660,12812,152,0.845917412802352,0.8560737672056662,This Agreement is not intended to create any right in or obligation of any Participating Entity or third party other than those expressly stated herein.
train,87,Cyber Mutual Assistance NDA.pdf,nda-19,entailment,0,9571,9697,126,0.6395162368034211,0.6479353200588,"The provisions of Sections 1, 2, 3, 4, 5 and 6 shall survive the termination of this Agreement for a period of ten (10) years."
train,87,Cyber Mutual Assistance NDA.pdf,nda-20,entailment,0,10627,10809,182,0.7100761726580248,0.7222370706935721,"Notwithstanding anything in this paragraph 6 to the contrary, a Participating Entity may retain a record copy of any Confidential Information if required to do so by applicable law. "
train,87,Cyber Mutual Assistance NDA.pdf,nda-3,entailment,0,1777,1837,60,0.11873580114927168,0.1227448884137378,“Confidential Information” under this Agreement consists of:
